# Time-averaged data for fix fIK
# TimeStep Number-of-rows
# Row c_pIK[1] c_pIK[2] c_pIK[3] c_pIK[4] c_pIK[5] c_pIK[6] c_pIK[7] c_pIK[8]
30000 360
250 24.95 0.69 0.607181 0.595087 0.595678 -1.18814 -1.11231 -0.784312
251 25.05 0.67 0.684379 0.522791 0.597683 -0.926028 -0.90863 -0.756243
252 25.15 0.64 0.529922 0.585836 0.564087 -0.853937 -0.866011 -0.791232
253 25.25 0.65 0.619823 0.552996 0.635829 -1.14024 -0.988223 -0.807596
254 25.35 0.663333 0.626091 0.502315 0.670625 -0.686183 -1.06492 -0.801527
255 25.45 0.593333 0.492892 0.510114 0.43859 -0.765557 -0.865376 -0.726768
256 25.55 0.526667 0.460969 0.442669 0.439272 -0.790425 -0.735387 -0.661396
257 25.65 0.616667 0.563174 0.566497 0.550838 -0.756625 -0.716821 -0.631709
258 25.75 0.536667 0.505438 0.412418 0.380072 -0.651058 -0.703633 -0.545046
259 25.85 0.486667 0.480696 0.495959 0.372805 -0.547285 -0.541876 -0.4984
260 25.95 0.536667 0.477556 0.423361 0.502865 -0.749841 -0.76211 -0.555845
261 26.05 0.44 0.395715 0.361445 0.34945 -0.791122 -0.686533 -0.484205
262 26.15 0.366667 0.284369 0.353429 0.327563 -0.853308 -0.658198 -0.409397
263 26.25 0.406667 0.42407 0.419214 0.260201 -0.693162 -0.524351 -0.354548
264 26.35 0.39 0.411874 0.404148 0.357721 -0.275823 -0.478076 -0.339514
265 26.45 0.336667 0.27366 0.256357 0.256098 -0.366953 -0.384691 -0.319002
266 26.55 0.32 0.271157 0.315302 0.300703 -0.381901 -0.240241 -0.276277
267 26.65 0.273333 0.23137 0.183639 0.199888 -0.430338 -0.394254 -0.255014
268 26.75 0.276667 0.151027 0.275705 0.264883 -0.233388 -0.408035 -0.231175
269 26.85 0.166667 0.142311 0.115498 0.121635 -0.07878 -0.293102 -0.206754
270 26.95 0.183333 0.114732 0.181549 0.115902 -0.14466 -0.172822 -0.185852
271 27.05 0.126667 0.102629 0.113602 0.0936466 -0.170553 -0.18269 -0.164207
272 27.15 0.113333 0.093754 0.0771341 0.11011 -0.0552387 -0.10959 -0.145436
273 27.25 0.126667 0.111074 0.108553 0.128403 -0.095077 -0.0585146 -0.12225
274 27.35 0.0733333 0.0476949 0.0405721 0.0458318 -0.0804508 -0.0810722 -0.0993196
275 27.45 0.0933333 0.03982 0.0389999 0.0489179 -0.0558298 -0.0863342 -0.0919744
276 27.55 0.1 0.11948 0.09236 0.108231 -0.0442606 -0.0583473 -0.0704478
277 27.65 0.0366667 0.0282922 0.0290277 0.00733227 -0.0448515 -0.054583 -0.0621304
278 27.75 0.05 0.019357 0.0406031 0.0442497 -0.0452867 -0.0459007 -0.0560366
279 27.85 0.0633333 0.0445225 0.0250302 0.0389083 -0.0353718 -0.0298748 -0.0428548
280 27.95 0.0233333 0.0205563 0.0210957 0.0126143 -0.0216696 0.00447538 -0.0318447
281 28.05 0.03 0.0326537 0.017959 0.0241501 -0.0179768 -0.00138331 -0.0288186
282 28.15 0.03 0.0305701 0.0394083 0.0179167 -0.0128444 -0.0138426 -0.022031
283 28.25 0.0333333 0.04583 0.0448267 0.0431332 -0.0104303 -0.013354 -0.0179663
284 28.35 0.0233333 0.0273458 0.0186343 0.0198436 -0.00650028 -0.00958585 -0.0133745
285 28.45 0.0433333 0.031035 0.033106 0.0311415 -0.0079872 -0.0131805 -0.0122039
286 28.55 0.01 0.00250777 0.012346 0.00094428 -0.0044344 -0.00489281 -0.00925475
287 28.65 0.00666667 0.00249209 0.000267325 0.00160137 -0.00310176 -0.00348507 -0.00867864
288 28.75 0.00333333 4.7266e-06 0.00141396 0.00344288 -0.00149208 -0.00155941 -0.00757083
289 28.85 0.01 0.00878121 0.00863667 0.0183775 -0.00147627 -0.0015294 -0.0076441
