# Time-averaged data for fix fF
# TimeStep Number-of-rows
# Row c_pFull[1] c_pFull[2] c_pFull[3] c_pFull[4] c_pFull[5] c_pFull[6] c_pFull[7] c_pFull[8]
0 360
279 27.85 0.1 0.0850145 0.230572 0.0290923 -0.0389365 -0.0364675 -0.086576
280 27.95 0 0 0 0 -0.0136459 -0.0117724 -0.0416389
281 28.05 0 0 0 0 -0.0136429 -0.0117695 -0.0416653
282 28.15 0 0 0 0 -0.0136544 -0.0117809 -0.0416681
283 28.25 0 0 0 0 -0.0136183 -0.0117449 -0.0416401
284 28.35 0 0 0 0 -0.0136651 -0.0117916 -0.0416918
285 28.45 0 0 0 0 -0.0136078 -0.0117343 -0.0416128
286 28.55 0 0 0 0 -0.0136716 -0.0117981 -0.0417329
287 28.65 0.2 0.0330124 0.0395949 0.802214 0.884838 0.182889 -0.00369886
288 28.75 0.1 0.0829409 0.000934341 0.0539489 1.2845 0.272643 0.0435084
289 28.85 0.1 0.0282559 0.00959816 0.000780088 0.263271 0.0553442 0.00270934
290 28.95 0 0 0 0 -0.00150942 -0.000712168 -0.00686849
291 29.05 0 0 0 0 -0.00148834 -0.000691093 -0.00684172
292 29.15 0 0 0 0 -0.00151752 -0.000720269 -0.00688523
293 29.25 0 0 0 0 -0.00148844 -0.000691193 -0.00683576
294 29.35 0 0 0 0 -0.00151489 -0.00071764 -0.00688666
295 29.45 0 0 0 0 -0.00149174 -0.000694493 -0.00683649
296 29.55 0 0 0 0 -0.00151136 -0.000714107 -0.00688393
297 29.65 0 0 0 0 -0.00149554 -0.000698295 -0.0068417
298 29.75 0 0 0 0 -0.00150811 -0.00071086 -0.00687719
299 29.85 0 0 0 0 -0.00149929 -0.000702044 -0.0068479
300 29.95 0 0 0 0 -0.00150535 -0.000708096 -0.00687232
301 30.05 0 0 0 0 -0.00150337 -0.000706126 -0.00685286
302 30.15 0 0 0 0 -0.00150322 -0.000705974 -0.00686517
303 30.25 0 0 0 0 -0.00151451 -0.00071726 -0.0068643
304 30.35 0.1 0.245132 0.00752421 0.0577571 -0.013886 -0.0155077 -0.0109746
305 30.45 0 0 0 0 -0.0171756 -0.019578 -0.0116933
306 30.55 0 0 0 0 -0.0171777 -0.0195801 -0.0117497
307 30.65 0.1 0.0233427 0.0189672 0.0174039 -0.0173994 -0.0234957 -0.0147798
308 30.75 0 0 0 0 -0.0156032 -0.0362919 -0.0247418
309 30.85 0 0 0 0 -0.0155878 -0.0362765 -0.0247562
310 30.95 0.1 0.011673 0.16317 0.0115929 -0.0163355 -0.0368687 -0.0251933
311 31.05 0.1 0.253962 0.0868164 0.000180079 -0.00885938 -0.0237074 -0.018215
312 31.15 0 0 0 0 -0.00598498 -0.0191125 -0.0154585
313 31.25 0 0 0 0 -0.00598407 -0.0191116 -0.0154554
314 31.35 0 0 0 0 -0.00598168 -0.0191092 -0.0154663
315 31.45 0.1 0.244844 0.00714418 0.111945 0.0322813 0.0150727 -0.00747169
316 31.55 0 0 0 0 0.0607833 0.0406317 -0.00133636
317 31.65 0.1 0.00309366 0.000176882 0.0449419 -0.00146621 -0.0254937 -0.0100622
318 31.75 0 0 0 0 -0.0127345 -0.0375057 -0.0115611
319 31.85 0 0 0 0 -0.0127654 -0.0375367 -0.011584
320 31.95 0 0 0 0 -0.0127508 -0.037522 -0.0115669
321 32.05 0 0 0 0 -0.0127479 -0.0375191 -0.0115818
322 32.15 0.1 0.00114839 0.238391 0.000356434 -0.00991415 -0.0280219 -0.00875688
323 32.25 0 0 0 0 -0.000272944 -0.000272944 -0.000439167
324 32.35 0 0 0 0 -0.000257339 -0.000257339 -0.000435997
325 32.45 0 0 0 0 -0.00025988 -0.00025988 -0.000440355
326 32.55 0 0 0 0 -0.000280704 -0.000280704 -0.000435457
327 32.65 0.1 0.000813066 0.117291 0.280502 -0.0348068 -0.00275827 -0.00722768
328 32.75 0 0 0 0 -0.0359927 -0.00236359 -0.00702266
329 32.85 0 0 0 0 -0.0360074 -0.0023783 -0.00702996
